[14/07/19, 18:10:08] Jack: ‎I messaggi e le chiamate sono crittografati end-to-end. Nessuno al di fuori di questa chat, nemmeno WhatsApp, può leggerne o ascoltarne il contenuto.
‎[14/07/19, 18:10:08] Jack: boardingpass.pdf • ‎1 pagina ‎<allegato: 00000002-boardingpass.pdf>
[16/07/19, 20:37:22] Jane: Rieccomi!!!
‎[16/07/19, 20:38:05] Jack: ‎<allegato: 00000004-GIF-2019-07-16-20-38-05.mp4>
[16/07/19, 20:38:37] Jane: Perse tutte le cronologie 😔
‎[16/07/19, 20:48:49] Jack: ‎<allegato: 00000006-AUDIO-2019-07-16-20-48-49.opus>
[16/07/19, 20:50:26] Jane: No 😭
[16/07/19, 20:50:32] Jane: Solo i contatti
‎[16/07/19, 20:52:29] Jack: ‎<allegato: 00000009-PHOTO-2019-07-16-20-52-29.jpg>
[16/07/19, 20:52:36] Jane: 😳
[16/07/19, 20:52:53] Jack: Ahahahahahah
[16/07/19, 20:52:57] Jack: Paoletto da vecchio o
[16/07/19, 20:52:58] Jane: 😂😂😂
[16/07/19, 20:53:04] Jane: Però bene
[16/07/19, 20:53:46] Jack: ❤❤❤
‎[17/07/19, 16:40:14] Jane: ‎<allegato: 00000016-PHOTO-2019-07-17-16-40-13.jpg>
[17/07/19, 16:40:27] Jack: Ahahahaha dv siete
[17/07/19, 16:40:44] Jane: Lux
[17/07/19, 16:41:21] Jack: Ceniamo insieme stasera?
[17/07/19, 16:41:50] Jane: Ma oggi alla Apple mi hanno detto che potevo finanziare con rid parliamone...
[17/07/19, 16:42:16] Jack: Ho avuto un incubo stanotte
[17/07/19, 16:42:20] Jack: Poi te lo racconto
[17/07/19, 16:42:21] Jane: Stasera passo da ceci che poi Filippo non li vede fino a settembre
[17/07/19, 16:42:37] Jack: Passaci prima e poi andiamo a mangiare da dolce no?
[17/07/19, 16:42:59] Jane: Prenota tardi però ok?
[17/07/19, 16:43:05] Jack: 21?
[17/07/19, 16:43:18] Jane: Si perfetto
[17/07/19, 20:12:48] Jane: Ci vieni a prendere alle 21?
[17/07/19, 20:12:56] Jack: Dove?
[17/07/19, 20:13:08] Jane: Sto ancora da ceci ma devo tornare a casa!
